"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id","peak_offpeak"
"10","10106953","GO101_25_7590_1","Huntington","7590","0","91BE652D","0"
"10","4ABAEB23","GO101_25_7590_2","Huntington","7590","0","91BE652D","0"
"10","7AD37633","GO101_25_7591","Penn Station","7591","1","91BE652DW","0"
"10","10106953","GO101_25_7591_1","Penn Station","7591","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7592","Huntington","7592","0","91BE652D","0"
"10","10106953","GO101_25_7592_1","Huntington","7592","0","91BE652D","0"
"10","4ABAEB23","GO101_25_7592_2","Huntington","7592","0","91BE652D","0"
"10","7AD37633","GO101_25_7593","Penn Station","7593","1","91BE652DW","0"
"10","10106953","GO101_25_7593_1","Penn Station","7593","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7594","Huntington","7594","0","91BE652D","0"
"10","97006089","GO101_25_7594_1","Huntington","7594","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7595","Penn Station","7595","1","91BE652DW","0"
"10","E17E66F5","GO101_25_7596","Huntington","7596","0","91BE652D","0"
"10","97006089","GO101_25_7596_1","Huntington","7596","0","91BE652D","0"
"10","BDECEEFB","GO101_25_7597","Penn Station","7597","1","91BE652DW","0"
"10","BDECEEFB","GO101_25_7599","Penn Station","7599","1","91BE652DW","0"
"8","BDECEEFB","GO101_25_7702","West Hempstead","7702","0","C905AE44","0"
"8","BDECEEFB","GO101_25_7705","Jamaica","7705","1","C905AE44W","0"
"8","BDECEEFB","GO101_25_7708","West Hempstead","7708","0","C905AE44","0"
"8","BDECEEFB","GO101_25_7709","Grand Central","7709","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7710","West Hempstead","7710","0","C905AE44","0"
"8","BDECEEFB","GO101_25_7711","Grand Central","7711","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7712","West Hempstead","7712","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7713","Grand Central","7713","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7714","West Hempstead","7714","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7715","Grand Central","7715","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7716","West Hempstead","7716","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7717","Grand Central","7717","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7718","West Hempstead","7718","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7719","Grand Central","7719","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7720","West Hempstead","7720","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7750","West Hempstead","7750","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7751","Grand Central","7751","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7752","West Hempstead","7752","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7753","Grand Central","7753","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7754","West Hempstead","7754","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7755","Grand Central","7755","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7756","West Hempstead","7756","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7757","Grand Central","7757","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7758","West Hempstead","7758","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7759","Grand Central","7759","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7760","West Hempstead","7760","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7761","Grand Central","7761","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7762","West Hempstead","7762","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7763","Grand Central","7763","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7764","West Hempstead","7764","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7765","Grand Central","7765","1","EBC24828W","0"
"8","BDECEEFB","GO101_25_7766","West Hempstead","7766","0","EBC24828","0"
"8","BDECEEFB","GO101_25_7767","Jamaica","7767","1","C905AE44W","0"
"8","BDECEEFB","GO101_25_7768","West Hempstead","7768","0","C905AE44","0"
"8","BDECEEFB","GO101_25_7769","Jamaica","7769","1","C905AE44W","0"
"8","BDECEEFB","GO101_25_7770","West Hempstead","7770","0","C905AE44","0"
"8","BDECEEFB","GO101_25_7771","Jamaica","7771","1","C905AE44W","0"
"8","BDECEEFB","GO101_25_7773","Jamaica","7773","1","C905AE44W","0"
